"portal","kandydat","data","nr","czy.w.tytule","dlugosc.art","ile.razy","ile.razy.wzg","waga"
"NaTematGlowna","komorowski","2015-05-01 00:00:00",1,TRUE,1393,2,0.00143575017946877,2
"NaTematGlowna","komorowski","2015-05-01 00:00:00",2,FALSE,2157,1,0.000463606861381548,2
"NaTematGlowna","komorowski","2015-05-01 00:00:00",3,TRUE,2138,4,0.00187090739008419,2
"NaTematGlowna","komorowski","2015-05-01 00:00:00",4,TRUE,2565,7,0.00272904483430799,2
"NaTematGlowna","komorowski","2015-05-01 00:00:00",5,TRUE,1682,6,0.00356718192627824,2
"NaTematGlowna","komorowski","2015-05-01 00:00:00",6,FALSE,1582,5,0.00316055625790139,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",1,FALSE,1763,2,0.00113442994895065,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",2,TRUE,1805,7,0.0038781163434903,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",3,FALSE,2157,1,0.000463606861381548,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",4,FALSE,3977,3,0.000754337440281619,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",5,TRUE,2138,4,0.00187090739008419,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",6,TRUE,2565,7,0.00272904483430799,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",7,TRUE,1393,2,0.00143575017946877,2
"NaTematGlowna","komorowski","2015-05-02 00:00:00",8,TRUE,1682,6,0.00356718192627824,2
"NaTematGlowna","komorowski","2015-05-03 00:00:00",1,FALSE,1765,2,0.00113314447592068,2
"NaTematGlowna","komorowski","2015-05-03 00:00:00",2,FALSE,1763,2,0.00113442994895065,2
"NaTematGlowna","komorowski","2015-05-04 00:00:00",1,TRUE,2157,5,0.00231803430690774,2
"NaTematGlowna","komorowski","2015-05-04 00:00:00",2,FALSE,1788,1,0.000559284116331096,2
"NaTematGlowna","komorowski","2015-05-04 00:00:00",3,TRUE,1939,6,0.00309437854564208,2
"NaTematGlowna","komorowski","2015-05-04 00:00:00",4,TRUE,1698,1,0.000588928150765607,2
"NaTematGlowna","komorowski","2015-05-04 00:00:00",5,TRUE,1120,2,0.00178571428571429,2
"NaTematGlowna","komorowski","2015-05-05 00:00:00",1,FALSE,1694,3,0.00177095631641086,2
"NaTematGlowna","komorowski","2015-05-06 00:00:00",1,TRUE,1355,7,0.00516605166051661,2
"NaTematGlowna","komorowski","2015-05-06 00:00:00",2,FALSE,6184,15,0.00242561448900388,2
"NaTematGlowna","komorowski","2015-05-06 00:00:00",3,TRUE,1428,6,0.00420168067226891,2
"NaTematGlowna","komorowski","2015-05-07 00:00:00",1,TRUE,1993,2,0.00100351229302559,2
"NaTematGlowna","komorowski","2015-05-07 00:00:00",2,FALSE,1275,1,0.000784313725490196,2
"NaTematGlowna","komorowski","2015-05-07 00:00:00",3,TRUE,4365,19,0.00435280641466208,2
"NaTematGlowna","komorowski","2015-05-07 00:00:00",4,FALSE,2632,3,0.00113981762917933,2
"NaTematGlowna","korwin","2015-03-15 00:00:00",1,FALSE,5713,1,0.000175039383861369,2
"NaTematGlowna","korwin","2015-03-15 00:00:00",2,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","korwin","2015-03-16 00:00:00",1,FALSE,1630,3,0.00184049079754601,2
"NaTematGlowna","korwin","2015-03-21 00:00:00",1,TRUE,1466,2,0.00136425648021828,2
"NaTematGlowna","korwin","2015-03-21 00:00:00",2,TRUE,2997,7,0.00233566900233567,2
"NaTematGlowna","korwin","2015-03-22 00:00:00",1,TRUE,1466,2,0.00136425648021828,2
"NaTematGlowna","korwin","2015-03-22 00:00:00",2,TRUE,2410,13,0.00539419087136929,2
"NaTematGlowna","korwin","2015-03-23 00:00:00",1,TRUE,2410,13,0.00539419087136929,2
"NaTematGlowna","korwin","2015-03-23 00:00:00",2,TRUE,2036,2,0.000982318271119843,2
"NaTematGlowna","korwin","2015-03-24 00:00:00",1,FALSE,2510,1,0.000398406374501992,2
"NaTematGlowna","korwin","2015-04-11 00:00:00",1,FALSE,1795,2,0.0011142061281337,2
"NaTematGlowna","korwin","2015-04-11 00:00:00",2,FALSE,2686,1,0.000372300819061802,2
