"portal","kandydat","data","nr","czy.w.tytule","dlugosc.art","ile.razy","ile.razy.wzg","waga"
"NaTematGlowna","duda","2015-03-15 00:00:00",4,TRUE,2338,8,0.00342172797262618,2
"NaTematGlowna","duda","2015-03-15 00:00:00",5,TRUE,2521,5,0.00198333994446648,2
"NaTematGlowna","duda","2015-03-16 00:00:00",1,TRUE,2498,2,0.000800640512409928,2
"NaTematGlowna","duda","2015-03-17 00:00:00",1,TRUE,2203,7,0.00317748524738992,2
"NaTematGlowna","duda","2015-03-20 00:00:00",1,FALSE,1449,1,0.000690131124913734,2
"NaTematGlowna","duda","2015-03-20 00:00:00",2,TRUE,2033,1,0.000491883915395967,2
"NaTematGlowna","duda","2015-03-21 00:00:00",1,TRUE,1466,4,0.00272851296043656,2
"NaTematGlowna","duda","2015-03-21 00:00:00",2,TRUE,2483,8,0.00322190898107128,2
"NaTematGlowna","duda","2015-03-21 00:00:00",3,FALSE,4282,1,0.000233535730966838,2
"NaTematGlowna","duda","2015-03-21 00:00:00",4,FALSE,1449,1,0.000690131124913734,2
"NaTematGlowna","duda","2015-03-22 00:00:00",1,TRUE,1790,6,0.00335195530726257,2
"NaTematGlowna","duda","2015-03-22 00:00:00",2,TRUE,1466,4,0.00272851296043656,2
"NaTematGlowna","duda","2015-03-22 00:00:00",3,FALSE,3854,3,0.000778412039439543,2
"NaTematGlowna","duda","2015-03-23 00:00:00",1,FALSE,2036,1,0.000491159135559921,2
"NaTematGlowna","duda","2015-03-24 00:00:00",1,TRUE,2510,7,0.00278884462151394,2
"NaTematGlowna","duda","2015-03-25 00:00:00",1,TRUE,2137,7,0.00327562002807674,2
"NaTematGlowna","duda","2015-03-26 00:00:00",1,FALSE,1749,6,0.00343053173241852,2
"NaTematGlowna","duda","2015-03-26 00:00:00",2,TRUE,2464,6,0.00243506493506494,2
"NaTematGlowna","duda","2015-03-26 00:00:00",3,TRUE,1468,8,0.00544959128065395,2
"NaTematGlowna","duda","2015-03-28 00:00:00",1,TRUE,2648,5,0.00188821752265861,2
"NaTematGlowna","duda","2015-03-28 00:00:00",2,FALSE,4646,1,0.000215238915195867,2
"NaTematGlowna","duda","2015-03-28 00:00:00",3,TRUE,4854,1,0.000206015657189946,2
"NaTematGlowna","duda","2015-03-28 00:00:00",4,FALSE,5078,10,0.00196927924379677,2
"NaTematGlowna","duda","2015-03-31 00:00:00",1,TRUE,5897,12,0.0020349330167882,2
"NaTematGlowna","duda","2015-04-02 00:00:00",1,TRUE,1996,11,0.00551102204408818,2
"NaTematGlowna","duda","2015-04-02 00:00:00",2,FALSE,2605,1,0.000383877159309021,2
"NaTematGlowna","duda","2015-04-03 00:00:00",1,FALSE,4430,1,0.000225733634311512,2
"NaTematGlowna","duda","2015-04-03 00:00:00",2,TRUE,2913,5,0.0017164435290079,2
"NaTematGlowna","duda","2015-04-04 00:00:00",1,FALSE,4430,1,0.000225733634311512,2
"NaTematGlowna","duda","2015-04-05 00:00:00",1,TRUE,3049,8,0.00262381108560184,2
"NaTematGlowna","duda","2015-04-06 00:00:00",1,TRUE,4715,20,0.00424178154825027,2
"NaTematGlowna","grodzka","2015-03-15 00:00:00",1,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","grodzka","2015-03-21 00:00:00",1,FALSE,2997,1,0.000333667000333667,2
"NaTematGlowna","jarubas","2015-03-15 00:00:00",1,TRUE,2846,8,0.0028109627547435,2
"NaTematGlowna","jarubas","2015-03-15 00:00:00",2,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","jarubas","2015-03-30 00:00:00",1,TRUE,1558,9,0.00577663671373556,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",1,FALSE,2751,2,0.000727008360596147,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",2,TRUE,2243,10,0.00445831475702185,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",3,TRUE,5713,26,0.00455102398039559,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",4,FALSE,2498,3,0.00120096076861489,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",5,FALSE,2469,1,0.000405022276225192,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",6,TRUE,3192,6,0.0018796992481203,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",7,FALSE,2338,2,0.000855431993156544,2
"NaTematGlowna","komorowski","2015-03-15 00:00:00",8,TRUE,2521,5,0.00198333994446648,2
"NaTematGlowna","komorowski","2015-03-16 00:00:00",1,FALSE,1630,2,0.00122699386503067,2
"NaTematGlowna","komorowski","2015-03-16 00:00:00",2,FALSE,2498,3,0.00120096076861489,2
"NaTematGlowna","komorowski","2015-03-17 00:00:00",1,TRUE,1772,9,0.00507900677200903,2
"NaTematGlowna","komorowski","2015-03-20 00:00:00",1,TRUE,1449,3,0.0020703933747412,2
"NaTematGlowna","komorowski","2015-03-20 00:00:00",2,FALSE,2033,2,0.000983767830791933,2
"NaTematGlowna","komorowski","2015-03-21 00:00:00",1,TRUE,1466,3,0.00204638472032742,2
"NaTematGlowna","komorowski","2015-03-21 00:00:00",2,TRUE,3575,6,0.00167832167832168,2
"NaTematGlowna","komorowski","2015-03-21 00:00:00",3,TRUE,2483,4,0.00161095449053564,2
"NaTematGlowna","komorowski","2015-03-21 00:00:00",4,FALSE,4282,1,0.000233535730966838,2
"NaTematGlowna","komorowski","2015-03-21 00:00:00",5,TRUE,1449,3,0.0020703933747412,2
"NaTematGlowna","komorowski","2015-03-22 00:00:00",1,TRUE,3127,7,0.00223856731691717,2
"NaTematGlowna","komorowski","2015-03-22 00:00:00",2,FALSE,2638,1,0.000379075056861259,2
"NaTematGlowna","komorowski","2015-03-22 00:00:00",3,TRUE,1466,3,0.00204638472032742,2
"NaTematGlowna","komorowski","2015-03-22 00:00:00",4,TRUE,3854,6,0.00155682407887909,2
"NaTematGlowna","komorowski","2015-03-23 00:00:00",1,TRUE,2003,10,0.00499251123315027,2
"NaTematGlowna","komorowski","2015-03-23 00:00:00",2,TRUE,2384,7,0.00293624161073826,2
"NaTematGlowna","komorowski","2015-03-24 00:00:00",1,FALSE,2510,5,0.00199203187250996,2
"NaTematGlowna","komorowski","2015-03-25 00:00:00",1,FALSE,2137,1,0.000467945718296678,2
"NaTematGlowna","komorowski","2015-03-26 00:00:00",1,TRUE,1749,7,0.00400228702115495,2
"NaTematGlowna","komorowski","2015-03-26 00:00:00",2,TRUE,2464,6,0.00243506493506494,2
"NaTematGlowna","komorowski","2015-03-28 00:00:00",1,FALSE,4646,2,0.000430477830391735,2
"NaTematGlowna","komorowski","2015-03-28 00:00:00",2,TRUE,5078,4,0.000787711697518708,2
"NaTematGlowna","komorowski","2015-03-30 00:00:00",1,TRUE,5906,11,0.00186251269895022,2
"NaTematGlowna","komorowski","2015-03-31 00:00:00",1,FALSE,5897,10,0.00169577751399016,2
"NaTematGlowna","komorowski","2015-04-02 00:00:00",1,FALSE,1996,3,0.00150300601202405,2
"NaTematGlowna","komorowski","2015-04-03 00:00:00",1,FALSE,4430,1,0.000225733634311512,2
"NaTematGlowna","komorowski","2015-04-03 00:00:00",2,TRUE,1259,6,0.00476568705321684,2
"NaTematGlowna","komorowski","2015-04-04 00:00:00",1,FALSE,4430,1,0.000225733634311512,2
"NaTematGlowna","komorowski","2015-04-05 00:00:00",1,FALSE,3049,1,0.00032797638570023,2
"NaTematGlowna","komorowski","2015-04-06 00:00:00",1,TRUE,4715,3,0.00063626723223754,2
"NaTematGlowna","komorowski","2015-04-06 00:00:00",2,TRUE,2488,4,0.00160771704180064,2
"NaTematGlowna","korwin","2015-03-15 00:00:00",1,FALSE,5713,1,0.000175039383861369,2
"NaTematGlowna","korwin","2015-03-15 00:00:00",2,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","korwin","2015-03-16 00:00:00",1,FALSE,1630,3,0.00184049079754601,2
"NaTematGlowna","korwin","2015-03-21 00:00:00",1,TRUE,1466,2,0.00136425648021828,2
"NaTematGlowna","korwin","2015-03-21 00:00:00",2,TRUE,2997,7,0.00233566900233567,2
"NaTematGlowna","korwin","2015-03-22 00:00:00",1,TRUE,1466,2,0.00136425648021828,2
"NaTematGlowna","korwin","2015-03-22 00:00:00",2,TRUE,2410,13,0.00539419087136929,2
"NaTematGlowna","korwin","2015-03-23 00:00:00",1,TRUE,2410,13,0.00539419087136929,2
"NaTematGlowna","korwin","2015-03-23 00:00:00",2,TRUE,2036,2,0.000982318271119843,2
"NaTematGlowna","korwin","2015-03-24 00:00:00",1,FALSE,2510,1,0.000398406374501992,2
"NaTematGlowna","kowalski","2015-03-24 00:00:00",1,FALSE,2510,2,0.000796812749003984,2
"NaTematGlowna","kukiz","2015-03-15 00:00:00",1,FALSE,2521,1,0.000396667988893296,2
"NaTematGlowna","kukiz","2015-03-16 00:00:00",1,TRUE,1630,7,0.00429447852760736,2
"NaTematGlowna","kukiz","2015-03-21 00:00:00",1,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","kukiz","2015-03-21 00:00:00",2,TRUE,4282,11,0.00256889304063522,2
"NaTematGlowna","kukiz","2015-03-22 00:00:00",1,TRUE,2638,8,0.00303260045489007,2
"NaTematGlowna","kukiz","2015-03-22 00:00:00",2,FALSE,1466,1,0.000682128240109141,2
"NaTematGlowna","kukiz","2015-03-23 00:00:00",1,TRUE,1716,9,0.00524475524475524,2
"NaTematGlowna","kukiz","2015-03-24 00:00:00",1,FALSE,2510,1,0.000398406374501992,2
"NaTematGlowna","kukiz","2015-03-26 00:00:00",1,FALSE,1468,2,0.00136239782016349,2
"NaTematGlowna","kukiz","2015-04-03 00:00:00",1,TRUE,1639,8,0.0048810250152532,2
